,country,year,cause,Deaths,DALYs,Incidence,income_level,income_level_mode,gdp,health_exp
3191,Sri Lanka,1999,Environmental heat and cold exposure,1.2651017481369842,65.81843629490626,94.74484367613,LM,LM,829.356379527539,
3192,Sri Lanka,2000,Cardiovascular diseases,313.9004410453765,6755.266334444431,643.76344293432,LM,LM,860.199884304769,4.10818672
3193,Sri Lanka,2000,Chronic respiratory diseases,89.96356469121689,2115.389796169954,1194.82856054202,LM,LM,860.199884304769,4.10818672
3194,Sri Lanka,2000,Environmental heat and cold exposure,1.3129912690583414,67.71860424185844,94.35892866948,LM,LM,860.199884304769,4.10818672
3195,Sri Lanka,2001,Cardiovascular diseases,314.00886864791147,6693.290497738402,642.17119597464,LM,LM,803.544026627385,4.05662823
3196,Sri Lanka,2001,Chronic respiratory diseases,87.66244702176186,2059.7986624325163,1199.00050882012,LM,LM,803.544026627385,4.05662823
3197,Sri Lanka,2001,Environmental heat and cold exposure,1.3410490044579912,68.72867082048221,92.96357623479,LM,LM,803.544026627385,4.05662823
3198,Sri Lanka,2002,Cardiovascular diseases,311.00306642749166,6554.366321946879,640.46794631973,LM,LM,834.936014905338,4.03715754
3199,Sri Lanka,2002,Chronic respiratory diseases,86.98227307197317,2027.532940672656,1208.36918682401,LM,LM,834.936014905338,4.03715754
3200,Sri Lanka,2002,Environmental heat and cold exposure,1.38815604262805,69.70729399952486,90.06256640207,LM,LM,834.936014905338,4.03715754
3201,Sri Lanka,2003,Cardiovascular diseases,306.51259672190764,6385.757685347174,638.5185952871,LM,LM,946.382255128072,3.64646697
3202,Sri Lanka,2003,Chronic respiratory diseases,87.2140273208661,2017.98486098364,1219.63261761829,LM,LM,946.382255128072,3.64646697
3203,Sri Lanka,2003,Environmental heat and cold exposure,1.418276949920493,70.20346858242027,86.38694002588001,LM,LM,946.382255128072,3.64646697
3204,Sri Lanka,2004,Cardiovascular diseases,341.28036766769605,7006.177033122151,636.87403285008,LM,LM,1028.62068132555,4.03912592
3205,Sri Lanka,2004,Chronic respiratory diseases,87.90025154635165,2017.1428016495868,1229.70827985379,LM,LM,1028.62068132555,4.03912592
3206,Sri Lanka,2004,Environmental heat and cold exposure,1.4959214442717206,72.61464304756245,82.68307298211,LM,LM,1028.62068132555,4.03912592
3207,Sri Lanka,2005,Cardiovascular diseases,307.3780459231828,6314.416445057313,633.37348837943,LM,LM,1207.21994764165,3.87908745
3208,Sri Lanka,2005,Chronic respiratory diseases,84.85539734604352,1950.05322503288,1234.79666617344,LM,LM,1207.21994764165,3.87908745
3209,Sri Lanka,2005,Environmental heat and cold exposure,1.4004389298529176,67.8684279327957,79.63413911309,LM,LM,1207.21994764165,3.87908745
3210,Sri Lanka,2006,Cardiovascular diseases,304.20604420502065,6248.601592468763,630.32469082326,LM,LM,1388.89739119932,3.85019565
3211,Sri Lanka,2006,Chronic respiratory diseases,84.55312258000241,1906.8325259336293,1233.69342568198,LM,LM,1388.89739119932,3.85019565
3212,Sri Lanka,2006,Environmental heat and cold exposure,1.066318545912461,53.24717135832381,77.39075306653,LM,LM,1388.89739119932,3.85019565
3213,Sri Lanka,2007,Cardiovascular diseases,302.26998636950134,6192.557575324336,626.24922717691,LM,LM,1578.63451125392,3.82258177
3214,Sri Lanka,2007,Chronic respiratory diseases,81.48750224705182,1830.453919244764,1228.0010731925,LM,LM,1578.63451125392,3.82258177
3215,Sri Lanka,2007,Environmental heat and cold exposure,0.7882083759895894,41.38454411639612,75.38978453735001,LM,LM,1578.63451125392,3.82258177
3216,Sri Lanka,2008,Cardiovascular diseases,294.73976839574044,6027.661900495788,621.29815616932,LM,LM,1973.58476901287,3.85482955
3217,Sri Lanka,2008,Chronic respiratory diseases,81.11748390226357,1814.081666187369,1220.02340036511,LM,LM,1973.58476901287,3.85482955
3218,Sri Lanka,2008,Environmental heat and cold exposure,0.6242696928524759,34.13688302110333,73.445687238,LM,LM,1973.58476901287,3.85482955
3219,Sri Lanka,2009,Cardiovascular diseases,292.3396527015343,5960.2634183260725,615.1553631537,LM,LM,2026.65939950702,4.05676842
3220,Sri Lanka,2009,Chronic respiratory diseases,77.97375814907483,1745.407631931811,1212.26482843856,LM,LM,2026.65939950702,4.05676842
3221,Sri Lanka,2009,Environmental heat and cold exposure,0.4622873401843021,27.099876520161285,71.37269851918,LM,LM,2026.65939950702,4.05676842
